service_id;Название;Отображаемое название для клиента;Категория;Описание ценности;Подходит для событий;Запрещена для событий;Требует фотографа;Требует видео оператор;Требуется персонал;Поставщик или работник;Мин время;Типичное время;Электричество;Стол;Место;Согласование с площадкой;Чувствительность к локации;Религиозные ограничения;Импровизация;Техническая сложность;Операционная нагрузка;Зависимости;Сочетается с;Конфликтует с;Что нельзя обещать;Типичные проблемы;Типичные недопонимания;Что ожидают клиенты;Примечания
Magnets;מגנטים;צילום מגנטים;Основная;"מגנטים הם מזכרת שמקבלים במקום.
הצילום וההדפסה מתבצעים במהלך האירוע, והאורחים יוצאים עם מגנט ביד.
זו מזכרת פיזית שלא הולכת לאיבוד בטלפון ונשארת בבית לאורך זמן.";"brit_mila
pidyon_haben
brita
bar_mitzvah_party
bat_mitzvah_party
aliyah_torah_synagogue
birthday_child
birthday_adult
proposal
hafrashat_hallah
henna
wedding
school_graduation
work_team_day
bachelorette_party
bachelor_party
torah_scroll_dedication";;כן;לא;כן;;2;3;כן;כן;כן;כן;Низкая;Нет;;Высокая;Высокая;Среднее;stills, Balloons, video, catering;Photo-box-selfie;;;;;
Blocks;בלוקים עץ;;;"בלוקים מעץ הם מזכרת יציבה ואיכותית שכולם רוצים לקחת.
התמונה מודפסת על בלוק עץ עבה, עומד לבד ללא מסגרת.
זו מזכרת שנשארת על מדף או שולחן, ולא נעלמת עם הזמן.
";"brit_mila
pidyon_haben
brita
bar_mitzvah_party
bat_mitzvah_party
aliyah_torah_synagogue
birthday_child
birthday_adult
proposal
hafrashat_hallah
henna
wedding
school_graduation
work_team_day
bachelorette_party
bachelor_party
torah_scroll_dedication";;כן;לא;כן;;2;3;כן;כן;כן;כן;Низкая;Нет;;Высокая;Высокая;Среднее;;;;;;;
stills;סטילס;צלם או צילום תמונות;;;"brit_mila
pidyon_haben
brita
bar_mitzvah_party
bat_mitzvah_party
aliyah_torah_synagogue
aliyah_torah_kotel
aliyah_torah_masada
birthday_child
birthday_adult
proposal
hafrashat_hallah
henna
wedding
school_graduation
work_team_day
conference
lecture
ceremony
bachelorette_party
bachelor_party
torah_scroll_dedication";;כן;לא;כן;;;;;;;;;;;;;;;;;;;;
Video;וידאו;צלם וידאו או צילום וידאו ;;;"brit_mila
pidyon_haben
brita
bar_mitzvah_party
bat_mitzvah_party
aliyah_torah_synagogue
aliyah_torah_kotel
aliyah_torah_masada
birthday_child
birthday_adult
proposal
hafrashat_hallah
henna
wedding
school_graduation
work_team_day
conference
lecture
ceremony
bachelorette_party
bachelor_party
torah_scroll_dedication";;לא;כן;כן;;;;;;;;;;;;;;;;;;;;
Photo-box-selfie;עמדת צילום;עמדת צילום סלפי;;;"brit_mila
pidyon_haben
brita
bar_mitzvah_party
bat_mitzvah_party
aliyah_torah_synagogue
birthday_child
birthday_adult
proposal
hafrashat_hallah
henna
wedding
school_graduation
work_team_day
conference
lecture
ceremony
bachelorette_party
bachelor_party
torah_scroll_dedication";;לא;;כן;;;;;;;;;;;;;;;Magnets;;;;;
Catering;קייטרינג;קייטרינג;;;"brit_mila
pidyon_haben
brita
bar_mitzvah_party
bat_mitzvah_party
aliyah_torah_synagogue
aliyah_torah_kotel
aliyah_torah_masada
birthday_child
birthday_adult
proposal
hafrashat_hallah
henna
wedding
school_graduation
work_team_day
conference
lecture
ceremony
bachelorette_party
bachelor_party
torah_scroll_dedication";;לא;;כן;;;;;;;;;;;;;;;;;;;;
Branding;מיתוג;;;;"brit_mila
pidyon_haben
brita
bar_mitzvah_party
bat_mitzvah_party
aliyah_torah_synagogue
aliyah_torah_kotel
aliyah_torah_masada
birthday_child
birthday_adult
proposal
hafrashat_hallah
henna
wedding
school_graduation
work_team_day
conference
lecture
ceremony
bachelorette_party
bachelor_party
torah_scroll_dedication";;לא;;כן;;;;;;;;;;;;;;;;;;;;
Balloons;עיצוב בלונים;קיר בלונים, בלונים, עיצוב בלונים;;;"brit_mila
pidyon_haben
brita
bar_mitzvah_party
bat_mitzvah_party
aliyah_torah_synagogue
birthday_child
birthday_adult
proposal
hafrashat_hallah
henna
wedding
school_graduation
work_team_day
conference
lecture
ceremony
bachelorette_party
bachelor_party
torah_scroll_dedication";;לא;;כן;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
planning_events;הפקת האירוע;;;;"brit_mila
pidyon_haben
brita
bar_mitzvah_party
bat_mitzvah_party
aliyah_torah_synagogue
aliyah_torah_kotel
aliyah_torah_masada
birthday_child
birthday_adult
proposal
hafrashat_hallah
henna
wedding
school_graduation
work_team_day
conference
lecture
ceremony
bachelorette_party
bachelor_party
torah_scroll_dedication";;לא;;כן;;;;;;;;;;;;;;;;;;;;
