scenario_id;event_id;Название;Описание;Локации;Услуги;Ограничения;Комментарий
initial_contact;NULL;Приветствие ;Сценарий первичного общения с клиентом для определения типа события и дальнейшего направления диалога.;;;;
;brit_mila;Брит ;Сценарий работы с клиентом, планирующим проведение брит милы, включая выбор услуг, проверку условий и подготовку к мероприятию.;;"Magnets
Balloons";;
;pidyon_haben;;;;;;
;brita;;;;;;
;bar_mitzvah_party;;;;;;
;bat_mitzvah_party;;;;;;
;aliyah_torah_synagogue;;;;;;
;aliyah_torah_kotel;;;;;;
;aliyah_torah_masada;;;;;;
;birthday_child;;;;;;
;birthday_adult;;;;;;
;proposal;;;;;;
;hafrashat_hallah;;;;;;
;henna;;;;;;
;wedding;;;;;;
;school_graduation;;;;;;
;work_team_day;;;;;;
;conference;;;;;;
;lecture;;;;;;
;ceremony;;;;;;
;bachelorette_party;;;;;;
;bachelor_party;;;;;;
;torah_scroll_dedication;;;;;;
